diffNuisances run on /data6/Users/joonblee/higgs_combine/CMSSW_14_1_0_pre4/src/NIsoMuon/limit_outputs/alpha/blind/Run2Run3/fitDiagnostics.FitDiag_Run2Run3_alpha_M30.root, at 2026-09-07 12:03:13.574080 with the following options ... {'vtol': 0.3, 'stol': 0.1, 'vtol2': 2.0, 'stol2': 0.5, 'show_all_parameters': True, 'absolute_values': True, 'poi': 'r', 'format': 'text', 'plotfile': 'pulls_Run2Run3_alpha_M30.root', 'pullDef': '', 'skipFitS': False, 'skipFitB': False, 'sortBy': 'correlation', 'regex': '.*'}

name                                                 pre fit                        b-only fit                           s+b fit         rho  approx impact
r                                             [0.00, 100.00]                              n/a                  +0.05 +3.09 63.17       +1.00   +3990.673
QCDscale_ren_ttbar                           0.000000 +/- 0.000000    !+0.00 +/- 0.66 (+0.00sig, 0.00)!    !+0.01 +/- 0.86 (+0.00sig, 0.00)!       +0.64     +34.963
QCDscale_fac_ttbar                           0.000000 +/- 0.000000    !+0.00 +/- 0.94 (+0.00sig, 0.00)!    !+0.01 +/- 0.97 (+0.00sig, 0.00)!       +0.23     +14.096
CMS_NPS26009_NFModel_DY_BJetOS_13TeV         0.000000 +/- 0.000000    !+0.00 +/- 0.84 (+0.00sig, 0.00)!    !+0.00 +/- 0.85 (+0.00sig, 0.00)!       -0.17      -9.076
CMS_NPS26009_topmass_ttbar_BJetOS            0.000000 +/- 0.000000    !-0.00 +/- 0.97 (-0.00sig, 0.00)!    !-0.01 +/- 0.98 (-0.00sig, 0.00)!       -0.15      -9.480
pdf_alphas                                   0.000000 +/- 0.000000    !-0.00 +/- 0.97 (-0.00sig, 0.00)!    !-0.00 +/- 0.98 (-0.00sig, 0.00)!       -0.13      -8.334
CMS_NPS26009_bckgShape_QCD_BJetOS_2018       4.055285 +/- 0.000000    !+4.06 +/- 10.28 (+0.00sig, 0.23)!    !+4.03 +/- 10.36 (-0.00sig, 0.23)!       -0.12     -78.232
CMS_NPS26009_pdf_NNPDF31                     0.000000 +/- 0.000000    !+0.00 +/- 0.98 (+0.00sig, 0.00)!    !-0.00 +/- 0.99 (-0.00sig, 0.00)!       -0.09      -5.843
CMS_NPS26009_NFStat_DY_BJetOS_2018           0.121918 +/- 0.000000    !+0.12 +/- 0.01 (+0.00sig, 0.23)!    !+0.12 +/- 0.01 (-0.00sig, 0.23)!       -0.09      -0.060
CMS_NPS26009_MCstat_singleTop_BJetOS_2023     0.000000 +/- 0.000000    !-0.00 +/- 0.79 (-0.00sig, 0.00)!    !-0.00 +/- 0.79 (-0.00sig, 0.00)!       -0.08      -4.001
CMS_NPS26009_btag_fixedWP_bc_correlated_13TeV     0.000000 +/- 0.000000    !+0.00 +/- 0.98 (+0.00sig, 0.00)!    !-0.00 +/- 0.99 (-0.00sig, 0.00)!       -0.07      -4.589
